iter	Passed	Remaining
927	64463	10628
928	64587	10567
929	64648	10496
930	64702	10424
931	64762	10353
932	64818	10282
933	64947	10221
934	65006	10150
935	65065	10079
936	65138	10010
937	65250	9947
938	65344	9881
939	65398	9809
940	65450	9737
941	65534	9670
942	65605	9600
943	65668	9530
944	65728	9459
945	65785	9387
946	65851	9317
947	65916	9247
948	65991	9179
949	66122	9117
950	66168	9045
951	66225	8973
952	66268	8900
953	66325	8829
954	66386	8758
955	66434	8686
956	66496	8616
957	66578	8548
958	66635	8477
959	66693	8406
960	66752	8335
961	66814	8265
962	66884	8195
963	66941	8124
964	67041	8058
965	67110	7989
966	67190	7921
967	67275	7853
968	67351	7784
969	67399	7712
970	67517	7648
971	67564	7576
972	67618	7505
973	67673	7434
974	67731	7363
975	67783	7292
976	67843	7221
977	67898	7150
978	67948	7079
979	68012	7009
980	68121	6944
981	68185	6874
982	68262	6805
983	68314	6734
984	68372	6663
985	68420	6592
986	68479	6521
987	68524	6450
988	68580	6379
989	68639	6309
990	68717	6240
991	68825	6174
992	68877	6103
993	68941	6034
994	69019	5965
995	69073	5894
996	69127	5824
997	69198	5755
998	69244	5683
999	69324	5615
1000	69357	5543
1001	69412	5472
1002	69494	5404
1003	69610	5338
1004	69673	5268
1005	69758	5200
1006	69861	5133
1007	69930	5064
1008	69992	4994
1009	70044	4923
1010	70091	4853
1011	70144	4782
1012	70200	4712
1013	70247	4641
1014	70311	4571
1015	70393	4503
1016	70439	4432
1017	70490	4362
1018	70543	4292
1019	70606	4222
1020	70705	4155
1021	70774	4085
1022	70822	4015
1023	70872	3945
1024	70925	3874
1025	70973	3804
1026	71035	3735
1027	71084	3664
1028	71162	3596
1029	71232	3527
1030	71275	3456
1031	71332	3386
1032	71381	3316
1033	71444	3247
1034	71515	3178
1035	71741	3116
1036	71866	3049
1037	71916	2979
1038	71972	2909
1039	72211	2846
1040	72569	2788
1041	72650	2719
1042	72864	2654
1043	72957	2585
1044	73016	2515
1045	73062	2444
1046	73131	2374
1047	73209	2305
1048	73270	2235
1049	73347	2165
1050	73419	2095
1051	73472	2025
1052	73528	1955
1053	73588	1885
1054	73659	1815
1055	73732	1745
1056	73800	1675
1057	73870	1605
1058	73934	1535
1059	73987	1465
1060	74131	1397
1061	74194	1327
